%time,field
194185000000,0
204848000000,0
205450000000,0
206048000000,0
206556000000,0
207048000000,0
207558000000,1
208056000000,1
208650000000,1
209153000000,1
209754000000,1
210352000000,1
210849000000,1
211352000000,1
211951000000,1
212457000000,1
212884000000,1
213474000000,1
214058000000,1
214557000000,1
215155000000,1
215667000000,1
216255000000,1
216751000000,1
217257000000,1
217851000000,1
218364000000,1
218860000000,1
219470000000,1
220164000000,1
220663000000,1
221263000000,2
221906000000,2
222473000000,2
222973000000,2
223560000000,2
224076000000,2
224568000000,2
225175000000,1
225651000000,0
226154000000,1
226652000000,1
227266000000,2
227775000000,2
228374000000,2
228962000000,2
229461000000,2
230071000000,2
230559000000,2
231167000000,3
231688000000,2
232178000000,2
232675000000,3
233283000000,2
233762000000,2
234356000000,1
234950000000,0
235571000000,2
236154000000,2
236751000000,2
237260000000,1
237856000000,1
238370000000,1
238989000000,2
239478000000,2
240054000000,1
240769000000,1
241259000000,0
241855000000,0
242453000000,0
243044000000,0
243548000000,1
244056000000,1
244556000000,1
245052000000,1
245667000000,1
246156000000,1
246768000000,1
247251000000,0
247751000000,0
248354000000,0
248952000000,1
249558000000,1
250164000000,1
250666000000,1
251407000000,1
251861000000,1
252456000000,1
252965000000,1
253566000000,1
254062000000,2
254673000000,1
255250000000,0
255748000000,0
256255000000,0
256852000000,0
257348000000,0
257950000000,0
258447000000,0
258949000000,0
259548000000,0
260048000000,0
260655000000,0
261148000000,0
261748000000,0
262248000000,0
262848000000,0
263348000000,0
263851000000,0
264449000000,0
264952000000,0
265450000000,0
266048000000,0
266549000000,0
267048000000,0
267750000000,0
268250000000,0
268784000000,1
269363000000,0
269851000000,0
270554000000,1
271050000000,0
271772000000,1
272259000000,1
272764000000,1
273351000000,0
273955000000,0
274548000000,0
275051000000,0
275553000000,1
276155000000,1
276666000000,1
277258000000,1
277777000000,1
278357000000,2
278962000000,2
279559000000,1
280172000000,1
280601000000,1
281178000000,1
281748000000,0
282348000000,0
282851000000,0
283461000000,1
283987000000,1
284456000000,1
285060000000,1
285661000000,1
286252000000,1
286753000000,1
287253000000,1
287863000000,1
288459000000,1
288954000000,1
289549000000,0
290050000000,0
290749000000,0
291249000000,0
291767000000,0
292351000000,0
292951000000,0
293447000000,0
294148000000,0
294648000000,0
295148000000,0
295651000000,0
296248000000,0
296854000000,0
297450000000,0
297948000000,0
298549000000,0
299049000000,0
299551000000,0
300147000000,0
300652000000,0
301248000000,0
301754000000,1
302371000000,1
302964000000,1
303355000000,1
304048000000,0
304550000000,0
305051000000,0
305549000000,0
306151000000,1
306656000000,1
307156000000,1
307762000000,1
308256000000,1
308872000000,1
309451000000,0
309960000000,1
310547000000,0
311049000000,0
311550000000,0
312150000000,0
312652000000,0
313348000000,0
313850000000,0
314355000000,0
314958000000,0
315552000000,0
316049000000,0
316652000000,0
317250000000,0
317751000000,0
318260000000,1
318770000000,1
319384000000,1
319861000000,1
320351000000,1
321048000000,0
321650000000,0
322149000000,0
322750000000,1
323272000000,1
323784000000,1
324320000000,1
324760000000,1
325260000000,1
325755000000,1
326351000000,1
326854000000,1
327456000000,1
328051000000,0
328649000000,0
329154000000,0
329752000000,0
330248000000,0
330867000000,1
331354000000,1
331965000000,1
332564000000,2
333148000000,1
333750000000,1
334262000000,2
334885000000,3
335363000000,2
335894000000,3
336466000000,2
337186000000,3
337663000000,3
338176000000,3
338657000000,1
339258000000,2
339867000000,2
340359000000,1
340952000000,1
341552000000,0
342050000000,0
342648000000,0
343154000000,1
343850000000,0
344448000000,0
344956000000,0
349855000000,0
350454000000,1
351063000000,1
351578000000,2
352054000000,0
352552000000,0
353149000000,2
353796000000,2
364376000000,1
370854000000,0
404851000000,0
405450000000,0
405961000000,0
